Kommunkod;Kommun;Folkmängd 31 december 2020;Huvudgrupp kod;Huvudgrupp namn;Kommungrupp kod;Kommungrupp 2017 namn;Länskod;Län;Region;;;;;;;;;;;;;;;;;;;;;;;
0114;Upplands Väsby;47 184;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0115;Vallentuna;34 119;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0117;Österåker;46 644;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0120;Värmdö;45 566;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0123;Järfälla;81 274;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0125;Ekerö;28 879;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0126;Huddinge;113 234;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0127;Botkyrka;94 847;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0128;Salem;16 959;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0136;Haninge;93 690;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0138;Tyresö;48 678;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0139;Upplands-Bro;30 195;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0140;Nykvarn;11 222;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0160;Täby;72 755;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0162;Danderyd;32 712;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0163;Sollentuna;73 990;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0180;Stockholm;975 551;A;Storstäder och storstadsnära kommuner;1;Storstäder;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0181;Södertälje;100 111;B;Större städer och kommuner nära större stad;3;Större stad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0182;Nacka;106 505;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0183;Sundbyberg;52 801;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0184;Solna;83 162;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0186;Lidingö;48 005;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0187;Vaxholm;11 886;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0188;Norrtälje;63 673;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0191;Sigtuna;49 537;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0192;Nynäshamn;28 811;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0305;Håbo;22 019;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0319;Älvkarleby;9 511;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0330;Knivsta;19 106;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0331;Heby;14 101;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0360;Tierp;21 327;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0380;Uppsala;233 839;B;Större städer och kommuner nära större stad;3;Större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0381;Enköping;46 240;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0382;Östhammar;22 251;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;03;Uppsala län;Region Uppsala;;;;;;;;;;;;;;;;;;;;;;;
0428;Vingåker;9 144;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0461;Gnesta;11 421;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0480;Nyköping;57 071;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0481;Oxelösund;11 995;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0482;Flen;16 431;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0483;Katrineholm;34 765;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0484;Eskilstuna;106 975;B;Större städer och kommuner nära större stad;3;Större stad;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0486;Strängnäs;37 290;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0488;Trosa;14 309;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;04;Södermanlands län;Region Sörmland;;;;;;;;;;;;;;;;;;;;;;;
0509;Ödeshög;5 338;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0512;Ydre;3 726;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0513;Kinda;9 991;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0560;Boxholm;5 441;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0561;Åtvidaberg;11 427;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0562;Finspång;21 765;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0563;Valdemarsvik;7 737;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0580;Linköping;164 616;B;Större städer och kommuner nära större stad;3;Större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0581;Norrköping;143 478;B;Större städer och kommuner nära större stad;3;Större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0582;Söderköping;14 616;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0583;Motala;43 640;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0584;Vadstena;7 423;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0586;Mjölby;27 960;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;05;Östergötlands län;Region Östergötland;;;;;;;;;;;;;;;;;;;;;;;
0604;Aneby;6 821;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0617;Gnosjö;9 614;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0642;Mullsjö;7 385;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0643;Habo;12 589;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0662;Gislaved;29 635;C;Mindre städer/tätorter och landsbygdskommuner;8;Landsbygdskommun;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0665;Vaggeryd;14 532;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0680;Jönköping;142 427;B;Större städer och kommuner nära större stad;3;Större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0682;Nässjö;31 563;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0683;Värnamo;34 530;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0684;Sävsjö;11 721;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0685;Vetlanda;27 502;C;Mindre städer/tätorter och landsbygdskommuner;8;Landsbygdskommun;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0686;Eksjö;17 788;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0687;Tranås;18 903;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;06;Jönköpings län;Region Jönköpings län;;;;;;;;;;;;;;;;;;;;;;;
0760;Uppvidinge;9 498;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0761;Lessebo;8 655;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0763;Tingsryd;12 369;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0764;Alvesta;20 224;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0765;Älmhult;17 884;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0767;Markaryd;10 373;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0780;Växjö;94 859;B;Större städer och kommuner nära större stad;3;Större stad;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0781;Ljungby;28 401;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;07;Kronobergs län;Region Kronoberg;;;;;;;;;;;;;;;;;;;;;;;
0821;Högsby;5 731;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0834;Torsås;7 149;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0840;Mörbylånga;15 487;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0860;Hultsfred;14 107;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0861;Mönsterås;13 264;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0862;Emmaboda;9 360;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0880;Kalmar;70 329;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0881;Nybro;20 273;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0882;Oskarshamn;27 147;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0883;Västervik;36 655;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0884;Vimmerby;15 672;C;Mindre städer/tätorter och landsbygdskommuner;8;Landsbygdskommun;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0885;Borgholm;10 836;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;08;Kalmar län;Region Kalmar län;;;;;;;;;;;;;;;;;;;;;;;
0980;Gotland;60 124;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;09;Gotlands län;Region Gotland;;;;;;;;;;;;;;;;;;;;;;;
1060;Olofström;13 311;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;10;Blekinge län;Region Blekinge;;;;;;;;;;;;;;;;;;;;;;;
1080;Karlskrona;66 515;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;10;Blekinge län;Region Blekinge;;;;;;;;;;;;;;;;;;;;;;;
1081;Ronneby;29 372;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;10;Blekinge län;Region Blekinge;;;;;;;;;;;;;;;;;;;;;;;
1082;Karlshamn;32 402;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;10;Blekinge län;Region Blekinge;;;;;;;;;;;;;;;;;;;;;;;
1083;Sölvesborg;17 456;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;10;Blekinge län;Region Blekinge;;;;;;;;;;;;;;;;;;;;;;;
1214;Svalöv;14 276;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1230;Staffanstorp;25 883;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1231;Burlöv;19 312;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1233;Vellinge;36 915;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1256;Östra Göinge;15 017;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1257;Örkelljunga;10 451;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1260;Bjuv;15 697;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1261;Kävlinge;32 020;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1262;Lomma;24 876;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1263;Svedala;22 665;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1264;Skurup;16 042;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1265;Sjöbo;19 412;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1266;Hörby;15 653;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1267;Höör;16 830;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1270;Tomelilla;13 663;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1272;Bromölla;12 759;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1273;Osby;13 198;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1275;Perstorp;7 476;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1276;Klippan;17 738;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1277;Åstorp;16 063;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1278;Båstad;15 413;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1280;Malmö;347 949;A;Storstäder och storstadsnära kommuner;1;Storstäder;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1281;Lund;125 941;B;Större städer och kommuner nära större stad;3;Större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1282;Landskrona;46 305;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1283;Helsingborg;149 280;B;Större städer och kommuner nära större stad;3;Större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1284;Höganäs;27 168;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1285;Eslöv;34 123;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1286;Ystad;30 970;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1287;Trelleborg;45 877;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1290;Kristianstad;86 217;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1291;Simrishamn;19 227;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1292;Ängelholm;42 910;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1293;Hässleholm;52 010;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1315;Hylte;10 649;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1380;Halmstad;103 754;B;Större städer och kommuner nära större stad;3;Större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1381;Laholm;25 967;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1382;Falkenberg;46 051;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1383;Varberg;65 397;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1384;Kungsbacka;84 930;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1401;Härryda;38 246;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1402;Partille;39 512;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1407;Öckerö;12 934;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1415;Stenungsund;27 044;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1419;Tjörn;16 147;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1421;Orust;15 315;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1427;Sotenäs;9 100;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1430;Munkedal;10 582;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1435;Tanum;12 912;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1438;Dals-Ed;4 761;C;Mindre städer/tätorter och landsbygdskommuner;8;Landsbygdskommun;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1439;Färgelanda;6 658;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1440;Ale;31 868;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
